epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,568.393,0.5938,0.86425,0.48978,0.82567,0,0.85677,0.86472,0.85698,0.65189,0.75253,0.76101,0.73904,0.47817,0.38688,1.49321,0.4049,0.80947,0,0.00086635,0.00086635,0.00086635
29,588.17,0.5669,0.79749,0.47081,0.8196,0,0.79865,0.83301,0.80722,0.62568,0.76734,0.79604,0.75525,0.48825,0.45078,1.89475,0.4246,0.83777,0,0.0008614,0.0008614,0.0008614
30,608.243,0.59731,0.85354,0.47901,0.82284,0,0.83269,0.86794,0.86011,0.65424,0.76423,0.78366,0.73887,0.49125,0.43036,1.55662,0.38309,0.83296,0,0.00085645,0.00085645,0.00085645
31,628.132,0.57397,0.78473,0.46162,0.82062,0,0.83488,0.83175,0.83759,0.64006,0.76117,0.73771,0.72588,0.48236,0.4261,1.61322,0.38315,0.82806,0,0.0008515,0.0008515,0.0008515
32,648.325,0.56854,0.83159,0.45795,0.81968,0,0.88282,0.87201,0.87785,0.66362,0.76983,0.78497,0.7377,0.48565,0.39642,1.721,0.37759,0.82271,0,0.00084655,0.00084655,0.00084655
33,668.161,0.55205,0.78683,0.44807,0.82158,0,0.85152,0.86428,0.85179,0.65257,0.77629,0.79262,0.75129,0.48158,0.42919,1.51594,0.38406,0.8284,0,0.0008416,0.0008416,0.0008416
34,688.376,0.55563,0.77256,0.44316,0.81696,0,0.83024,0.86598,0.86042,0.64819,0.76915,0.75281,0.72243,0.48504,0.46297,1.65903,0.41824,0.83565,0,0.00083665,0.00083665,0.00083665
35,708.227,0.56602,0.78432,0.44382,0.81827,0,0.82472,0.87108,0.85742,0.6594,0.85679,0.74714,0.74578,0.46422,0.37785,1.84117,0.38599,0.8229,0,0.0008317,0.0008317,0.0008317
36,728.293,0.54793,0.76872,0.43582,0.81287,0,0.82726,0.86784,0.84137,0.64561,0.81266,0.73442,0.71743,0.45112,0.41412,1.55867,0.38146,0.83148,0,0.00082675,0.00082675,0.00082675
37,748.399,0.56262,0.79702,0.45106,0.81945,0,0.82801,0.86821,0.82739,0.63155,0.74991,0.77124,0.70752,0.43442,0.40755,1.77985,0.36926,0.82678,0,0.0008218,0.0008218,0.0008218
38,768.617,0.54354,0.77547,0.43526,0.81557,0,0.83205,0.89132,0.87286,0.65616,0.75517,0.80436,0.76652,0.45931,0.44421,1.81574,0.38893,0.83573,0,0.00081685,0.00081685,0.00081685
39,788.622,0.53875,0.76782,0.43026,0.8154,0,0.9065,0.8372,0.86654,0.6591,0.79284,0.75664,0.7218,0.46167,0.38691,1.99497,0.35592,0.83457,0,0.0008119,0.0008119,0.0008119
40,808.513,0.53523,0.77358,0.42798,0.81271,0,0.86267,0.85786,0.86384,0.65572,0.77509,0.75639,0.72829,0.48428,0.41591,1.42095,0.38067,0.82744,0,0.00080695,0.00080695,0.00080695
41,828.379,0.54165,0.79969,0.43533,0.81849,0,0.87734,0.81879,0.84169,0.63376,0.74658,0.76214,0.71133,0.46382,0.404,1.63587,0.37241,0.82348,0,0.000802,0.000802,0.000802
42,848.401,0.54389,0.76693,0.42537,0.81491,0,0.8602,0.8613,0.87845,0.66994,0.80458,0.7936,0.7731,0.49085,0.38138,1.80646,0.3658,0.8176,0,0.00079705,0.00079705,0.00079705
43,868.443,0.53835,0.77031,0.42564,0.81355,0,0.83602,0.88039,0.87229,0.67533,0.78737,0.72184,0.71736,0.46979,0.38688,1.76546,0.34497,0.82805,0,0.0007921,0.0007921,0.0007921
44,888.503,0.53339,0.7442,0.419,0.81292,0,0.85196,0.85227,0.85133,0.64586,0.75563,0.776,0.72366,0.47353,0.41382,1.88689,0.37211,0.84488,0,0.00078715,0.00078715,0.00078715
45,908.79,0.50959,0.73659,0.40175,0.80719,0,0.84564,0.89367,0.88309,0.67516,0.76534,0.77756,0.7382,0.5011,0.37503,1.88639,0.33502,0.82503,0,0.0007822,0.0007822,0.0007822
46,929.614,0.51317,0.73351,0.39925,0.80745,0,0.86332,0.90273,0.86729,0.64819,0.80053,0.80049,0.75493,0.47153,0.40817,1.6303,0.34604,0.8366,0,0.00077725,0.00077725,0.00077725
47,949.955,0.53387,0.74608,0.4095,0.80983,0,0.86766,0.87985,0.88258,0.67737,0.7729,0.75134,0.71491,0.44802,0.38064,1.75206,0.3489,0.84434,0,0.0007723,0.0007723,0.0007723
48,970.236,0.51681,0.72658,0.40289,0.81241,0,0.86902,0.88084,0.87224,0.65048,0.80528,0.78089,0.74772,0.48573,0.39112,1.643,0.35149,0.83848,0,0.00076735,0.00076735,0.00076735
49,991.062,0.5029,0.71395,0.39367,0.80895,0,0.90359,0.87257,0.87522,0.65749,0.78673,0.7805,0.72813,0.45592,0.39763,2.31461,0.35506,0.84227,0,0.0007624,0.0007624,0.0007624
50,1011.33,0.51062,0.7277,0.39378,0.81033,0,0.8623,0.86803,0.88389,0.68714,0.7911,0.74188,0.73622,0.46259,0.37161,2.05311,0.3526,0.82948,0,0.00075745,0.00075745,0.00075745
51,1031.46,0.50933,0.7163,0.39495,0.80716,0,0.86891,0.92708,0.88459,0.66826,0.78276,0.81923,0.75272,0.47279,0.38098,1.90396,0.33925,0.84489,0,0.0007525,0.0007525,0.0007525
52,1051.57,0.50267,0.72038,0.38894,0.80585,0,0.89386,0.85339,0.87521,0.66886,0.80152,0.80327,0.74175,0.46544,0.38779,1.87724,0.3344,0.83756,0,0.00074755,0.00074755,0.00074755
53,1071.92,0.49547,0.71334,0.38442,0.80276,0,0.84351,0.85453,0.85301,0.6587,0.76209,0.76578,0.71801,0.44804,0.34545,1.69376,0.33129,0.81845,0,0.0007426,0.0007426,0.0007426
54,1092.17,0.50523,0.72408,0.39293,0.80714,0,0.84913,0.85683,0.87122,0.68139,0.75703,0.77636,0.72455,0.4642,0.39052,1.95201,0.35839,0.82841,0,0.00073765,0.00073765,0.00073765
55,1112.25,0.51379,0.71579,0.39413,0.80734,0,0.85915,0.8793,0.87737,0.67299,0.76916,0.77015,0.7228,0.46228,0.41303,1.86656,0.34507,0.84055,0,0.0007327,0.0007327,0.0007327
56,1132.29,0.50404,0.71043,0.39004,0.80664,0,0.83993,0.86945,0.87204,0.67708,0.75761,0.77343,0.72582,0.47079,0.37774,1.93679,0.32357,0.82755,0,0.00072775,0.00072775,0.00072775
57,1152.43,0.49319,0.7139,0.37579,0.8036,0,0.86001,0.86378,0.86539,0.6668,0.80929,0.81307,0.77045,0.47197,0.3501,1.93885,0.3278,0.82627,0,0.0007228,0.0007228,0.0007228
58,1172.59,0.50108,0.72158,0.38212,0.80466,0,0.82837,0.90839,0.87106,0.66062,0.77524,0.79956,0.75183,0.47855,0.43604,1.85823,0.34924,0.83171,0,0.00071785,0.00071785,0.00071785
59,1192.67,0.48975,0.68922,0.37517,0.80157,0,0.84392,0.88172,0.85284,0.66648,0.74639,0.78497,0.73471,0.48109,0.36995,2.00208,0.3463,0.83004,0,0.0007129,0.0007129,0.0007129
60,1212.78,0.48847,0.71156,0.37538,0.80631,0,0.85995,0.89554,0.85953,0.66975,0.78344,0.79465,0.73963,0.48281,0.39521,1.92372,0.33872,0.84263,0,0.00070795,0.00070795,0.00070795
61,1233.1,0.48981,0.69952,0.37299,0.80273,0,0.86487,0.91571,0.85825,0.65526,0.75951,0.79847,0.73157,0.47603,0.38517,2.01391,0.3145,0.86379,0,0.000703,0.000703,0.000703
62,1253.21,0.47007,0.67295,0.36187,0.80001,0,0.86684,0.90468,0.87004,0.67531,0.78365,0.81307,0.7712,0.48608,0.34147,1.71492,0.33227,0.82588,0,0.00069805,0.00069805,0.00069805
63,1273.36,0.47711,0.69386,0.36596,0.80311,0,0.85073,0.88625,0.86129,0.67233,0.77807,0.77015,0.73298,0.45826,0.33595,1.83591,0.33153,0.81521,0,0.0006931,0.0006931,0.0006931
64,1293.4,0.48068,0.71357,0.36917,0.80431,0,0.83203,0.87481,0.85164,0.64965,0.77907,0.80697,0.75519,0.45789,0.36442,1.86384,0.34313,0.82989,0,0.00068815,0.00068815,0.00068815
65,1313.07,0.48045,0.70146,0.3694,0.80265,0,0.8712,0.85036,0.85919,0.6688,0.80672,0.79633,0.77159,0.49668,0.36611,1.80812,0.31826,0.83945,0,0.0006832,0.0006832,0.0006832
66,1333.27,0.48531,0.70284,0.36908,0.80229,0,0.84535,0.87488,0.86859,0.66528,0.80586,0.79187,0.75472,0.46274,0.38333,1.70889,0.32414,0.84017,0,0.00067825,0.00067825,0.00067825
67,1353.47,0.46748,0.69291,0.36087,0.79956,0,0.88456,0.88377,0.85673,0.65144,0.77879,0.78235,0.73512,0.46401,0.35869,1.78427,0.31234,0.83799,0,0.0006733,0.0006733,0.0006733
68,1373.62,0.48528,0.70858,0.3668,0.80253,0,0.88485,0.87167,0.87391,0.66283,0.80743,0.77756,0.75251,0.46833,0.37111,1.64131,0.32096,0.83926,0,0.00066835,0.00066835,0.00066835
69,1393.7,0.48075,0.69284,0.37266,0.80364,0,0.89059,0.86046,0.85835,0.65745,0.7428,0.80133,0.73834,0.47469,0.3802,1.8587,0.3102,0.85085,0,0.0006634,0.0006634,0.0006634
70,1413.83,0.4684,0.6913,0.36113,0.80132,0,0.85073,0.8371,0.84317,0.64499,0.79233,0.7657,0.74536,0.46669,0.36772,1.95532,0.31179,0.83892,0,0.00065845,0.00065845,0.00065845
71,1433.84,0.47707,0.67707,0.3673,0.80238,0,0.8265,0.90468,0.84306,0.65009,0.79961,0.76761,0.73807,0.45924,0.36929,1.85655,0.32226,0.83445,0,0.0006535,0.0006535,0.0006535
72,1454.1,0.47218,0.6719,0.36221,0.80054,0,0.84903,0.8985,0.84648,0.64547,0.76432,0.80027,0.72286,0.4424,0.38187,1.67304,0.3273,0.84538,0,0.00064855,0.00064855,0.00064855
73,1474.02,0.46812,0.67575,0.35569,0.80113,0,0.87912,0.88458,0.86768,0.65992,0.76458,0.75125,0.71772,0.45279,0.36407,1.79289,0.3136,0.83683,0,0.0006436,0.0006436,0.0006436
74,1494.09,0.45952,0.6669,0.35017,0.7984,0,0.84553,0.91819,0.855,0.66059,0.74396,0.80049,0.72164,0.46024,0.34963,1.66459,0.30182,0.82992,0,0.00063865,0.00063865,0.00063865
75,1514.36,0.46306,0.65539,0.35447,0.80132,0,0.88992,0.89156,0.87389,0.66596,0.78667,0.81307,0.76274,0.46855,0.36537,2.07756,0.32681,0.83582,0,0.0006337,0.0006337,0.0006337
